"","Sub","Run","x","y","FixDur","NumFix","Stim","Talker","Syll","PC_Eyes","PC_Mouth","PC_Off","PC_Up","PC_Low","Dist_Eyes","Dist_Mouth","Code","AQ","NewNum"
"6973",30,1,964.751604032997,506.423464711274,4364,2,8,3,2,0,0.744271310724106,0,0.255728689275894,0.744271310724106,2.50483674663966,1.0130517415743,9965,28,64
"6974",30,1,998.574569789675,528.098470363289,2092,5,7,3,1,0,1,0,0,1,2.94763394801807,0.695934186377996,9965,28,64
"6975",30,1,961.930348258706,605.620232172471,4824,2,11,4,2,0,1,0,0,1,3.33992028880837,0.618627190982419,9965,28,64
"6976",30,1,979.764964788732,550.50088028169,6816,3,9,3,3,0,0.821302816901408,0.178697183098592,0,1,3.35542211759207,0.746616060034657,9965,28,64
"6977",30,1,999.959866220736,572.68115942029,7176,5,2,1,2,0,1,0,0,1,2.94712922524353,0.634643989035643,9965,28,64
"6978",30,2,966.784745762712,527.209322033898,4720,2,8,3,2,0,1,0,0,1,2.76493243226698,0.507730104140564,9965,28,64
"6979",30,2,983,534,6066,1,9,3,3,0,1,0,0,1,1,2.93478616098662,9965,28,64
"6980",30,2,1000.80084745763,563.879237288136,5664,5,2,1,2,0.135593220338983,0.850282485875706,0,0.135593220338983,0.864406779661017,2.90927695110037,0.661664995541115,9965,28,64
"6981",30,2,950,601,4812,1,11,4,2,0,1,0,0,1,1,3.20303526885115,9965,28,64
"6982",30,2,919.085782366958,583.812549642573,7554,3,12,4,3,0,0.946783161239079,0,0,1,2.98184788394274,0.857477648173887,9965,28,64
"6983",30,2,924.336717428088,576.131979695431,4728,4,5,2,2,0.146362098138748,0.853637901861252,0,0.146362098138748,0.853637901861252,2.5693366091006,1.08695816362631,9965,28,64
"6984",30,2,913.94502829426,565.323362974939,2474,2,10,4,1,0,1,0,0,1,2.50162084082764,0.848431743772742,9965,28,64
"6985",30,2,936.1072,558.5424,2500,5,1,1,1,0,0.8176,0.0648,0.1824,0.8176,3.02693973875888,1.47855691195685,9965,28,64
"6986",30,2,933.512306289882,570.312670920693,2194,4,4,2,1,0.248860528714676,0.751139471285324,0,0.248860528714676,0.751139471285324,2.5497575229197,1.06131949479161,9965,28,64
"6987",30,2,943.28184553661,522.176529588766,1994,3,7,3,1,0.0912738214643932,0.908726178535607,0,0.0912738214643932,0.908726178535607,2.8600894402873,0.925405743554778,9965,28,64
"6988",30,2,963.071533923304,580.886430678466,8136,6,6,2,3,0.081858407079646,0.738938053097345,0,0.261061946902655,0.738938053097345,2.72428854012118,0.933758034993447,9965,28,64
"6989",30,2,991,586,7824,1,3,1,3,0,1,0,0,1,1,3.18251890051616,9965,28,64
"6990",30,2,949.016501650165,577.198844884488,4848,2,5,2,2,0,1,0,0,1,2.42271314607818,0.499307386017238,9965,28,64
"6991",30,2,954,607,2634,1,4,2,1,0,1,0,0,1,1,3.09371551506645,9965,28,64
"6992",30,2,942.697063369397,587.899536321484,5176,2,11,4,2,0,0.858578052550232,0.141421947449768,0,1,2.89821015840466,0.415534890748468,9965,28,64
"6993",30,2,944.001949317739,554.808966861598,2052,4,1,1,1,0,0.878167641325536,0,0,1,2.67805389762925,1.30295335925569,9965,28,64
"6994",30,2,944.963043478261,578.84347826087,2760,5,10,4,1,0,0.894927536231884,0.105072463768116,0,1,2.86958197450132,1.00266223759209,9965,28,64
"6995",30,2,964.798829553767,590.769568397952,8202,5,6,2,3,0,1,0,0,1,2.80140457013072,0.756506683137057,9965,28,64
"6996",30,2,973.266666666667,526.742857142857,1260,3,7,3,1,0,1,0,0,1,2.76286821960839,0.393517558607766,9965,28,64
"6997",30,2,971,531,6006,1,9,3,3,0,1,0,0,1,1,2.8512781808115,9965,28,64
"6998",30,2,978.843592330979,546.609485368315,3964,5,2,1,2,0.209889001009082,0.790110998990918,0,0.209889001009082,0.790110998990918,2.57554010812166,1.17531082041171,9965,28,64
"6999",30,2,1013.4896,559.1048,7500,3,3,1,3,0,1,0,0,1,2.6774753304597,0.859102005596957,9965,28,64
"7000",30,2,937.552066115702,575.267768595041,7260,2,12,4,3,0,1,0,0,1,2.61397058286477,0.373154401493486,9965,28,64
"7001",30,2,950.502732240437,513.831693989071,3660,3,8,3,2,0,0.898360655737705,0,0.101639344262295,0.898360655737705,2.50714292987874,0.935505836965,9965,28,64
"7002",30,2,919.228331780056,512.561975768872,6438,5,6,2,3,0.534016775396086,0.465983224603914,0,0.534016775396086,0.465983224603914,1.82641798322458,2.16543292440125,9965,28,64
"7003",30,2,942.876046901173,603.316582914573,4776,2,11,4,2,0,1,0,0,1,3.27544289811298,0.469464525359065,9965,28,64
"7004",30,2,991,602,5132,1,2,1,2,0,1,0,0,1,1,3.55576736839644,9965,28,64
"7005",30,2,980.75223880597,547.102487562189,2010,3,7,3,1,0,1,0,0,1,3.25262828537895,0.364994461442977,9965,28,64
"7006",30,2,1000.72356215213,534.833024118738,3234,4,9,3,3,0,0.519480519480519,0.187384044526902,0.126159554730983,0.873840445269017,3.13364817786069,1.02027907078222,9965,28,64
"7007",30,2,927.529360967185,607.554404145078,6948,4,12,4,3,0,0.92314335060449,0.0768566493955095,0,1,3.3883815071518,0.609436985206248,9965,28,64
"7008",30,2,961.450592885375,616.806324110672,2530,2,4,2,1,0,1,0,0,1,3.35061076588468,0.77851177571833,9965,28,64
"7009",30,2,954.204003079292,597.441108545035,5196,2,5,2,2,0,0.927636643571978,0,0.0723633564280216,0.927636643571978,2.87361982931088,0.297047196407678,9965,28,64
"7010",30,2,943.776119402985,559.850746268657,4824,2,8,3,2,0,0.82089552238806,0.17910447761194,0,1,3.61099960192716,1.02279145009855,9965,28,64
"7011",30,2,955.451075641915,585.001387925052,2882,2,1,1,1,0,0.897987508674532,0,0,1,3.28446388879354,0.843388198229568,9965,28,64
"7012",30,2,985.509090909091,592.476363636364,8250,3,3,1,3,0.0858181818181818,0.914181818181818,0,0.0858181818181818,0.914181818181818,3.48883392574408,0.844178720254165,9965,28,64
"7013",30,2,938.778443113772,577.686911890505,2338,2,10,4,1,0,1,0,0,1,2.66933514657351,0.346097044722021,9965,28,64
"7014",30,2,954.801355932203,589.440677966102,8850,3,12,4,3,0,1,0,0,1,2.94302562748139,0.38691091967797,9965,28,64
"7015",30,2,963.717563291139,536.943037974684,5056,3,8,3,2,0,1,0,0,1,2.99779273286579,0.336217896639823,9965,28,64
"7016",30,2,950.258401792382,594.812546676624,5356,3,11,4,2,0.0911127707244212,0.908887229275579,0,0.0911127707244212,0.908887229275579,3.27280803288486,0.840400798692483,9965,28,64
"7017",30,2,994.420971472629,602.218966846569,5188,4,2,1,2,0,0.894371626831149,0.105628373168851,0,1,3.57888626798079,0.67356775669807,9965,28,64
"7018",30,2,951.774744027304,534.945392491468,1172,3,7,3,1,0,0.921501706484642,0,0.0784982935153584,0.921501706484642,2.99802349135385,0.810139515006518,9965,28,64
"7019",30,2,956.737752161383,606.00288184438,5552,2,5,2,2,0,0.919308357348703,0.0806916426512968,0,1,3.1000243540206,0.360851997899717,9965,28,64
"7020",30,2,1006.23263075722,561.267759562842,7686,2,9,3,3,0,0.834504293520687,0.165495706479313,0,1,3.69211615597037,0.838359755317834,9965,28,64
"7021",30,2,966.49900464499,593.917053749171,3014,3,4,2,1,0.150630391506304,0.849369608493696,0,0.150630391506304,0.849369608493696,3.06340130891051,1.19465875691727,9965,28,64
"7022",30,2,1012,591,6114,1,3,1,3,0,1,0,0,1,1,3.35940550024234,9965,28,64
"7023",30,2,975.063262195122,571.352134146341,2624,4,1,1,1,0,1,0,0,1,2.8908106752065,0.439130436383118,9965,28,64
"7024",30,2,979.51656626506,604.346385542169,7968,2,6,2,3,0,0.916415662650602,0.0835843373493976,0,1,3.06190291691276,0.499536351343025,9965,28,64
"7025",30,2,933.64620355412,570.64620355412,2476,2,10,4,1,0,1,0,0,1,2.52198772295523,0.524525904167365,9965,28,64
"7026",30,2,934.955477031802,595.371024734982,8490,3,12,4,3,0,1,0,0,1,3.10064519615872,0.341142510949683,9965,28,64
"7027",30,2,976.474820143885,564.009249743063,1946,6,7,3,1,0,0.89825282631038,0.10174717368962,0,1,3.7359987608049,1.02594892964492,9965,28,64
"7028",30,2,990.785190615836,584.66788856305,8184,5,3,1,3,0,0.881964809384164,0.0542521994134897,0.118035190615836,0.881964809384164,3.32725150237351,0.798729418019146,9965,28,64
