"","Sub","Run","Movie","Avg_x","Avg_y","P_Lower","P_Upper","P_Mouth","P_Eye","P_NotROI","P_NotFace","NumFix","Std_x","Std_y"
"121",4,1,1,968,497,0.0504731861198738,0.914826498422713,0.0110410094637224,0.858044164037855,0.130914826498423,0.0347003154574132,48,85.3814962563579,51.651993981084
"122",4,1,2,944,405,0.0905562742561449,0.900388098318241,0.0245795601552393,0.829236739974127,0.146183699870634,0.00905562742561449,50,63.6805144289999,65.8957564329057
"123",4,1,3,1008,582,0,0.939306358381503,0,0.875722543352601,0.124277456647399,0.0606936416184971,23,80.9624384756121,36.3114772535276
"124",4,1,4,901,534,0.102319236016371,0.852660300136426,0.0586630286493861,0.809004092769441,0.132332878581173,0.0450204638472033,47,120.900898049859,111.406221228591
"125",4,1,5,824,581,0.21405750798722,0.750798722044728,0.21405750798722,0.702875399361022,0.0830670926517572,0.0351437699680511,28,70.3968210875651,97.1256107018271
"126",4,1,6,861,540,0.0611111111111111,0.925925925925926,0.0518518518518519,0.612962962962963,0.335185185185185,0.012962962962963,47,66.8692172736669,97.7843610823878
"127",4,1,7,844,477,0.127478753541076,0.831444759206799,0.0694050991501416,0.652974504249292,0.277620396600567,0.0410764872521246,43,89.2027096113199,51.4726113010196
"128",4,1,8,844,557,0.0345489443378119,0.953934740882918,0.0575815738963532,0.930902111324376,0.0115163147792706,0.0115163147792706,34,112.09971712685,52.7149324835838
"129",4,1,9,910,543,0.221357063403782,0.71412680756396,0.254727474972191,0.559510567296997,0.185761957730812,0.0645161290322581,54,168.253381745198,82.5954830234079
"130",4,1,10,886,484,0.0898550724637681,0.834782608695652,0.072463768115942,0.672463768115942,0.255072463768116,0.0753623188405797,26,122.040917314009,67.4433008695312
"131",4,2,1,1021,508,0.0446428571428571,0.94047619047619,0.0446428571428571,0.797619047619048,0.157738095238095,0.0148809523809524,24,103.220702303363,66.7097702253818
"132",4,2,2,982,485,0.191326530612245,0.709183673469388,0.142857142857143,0.548469387755102,0.308673469387755,0.0994897959183673,29,46.4590007369873,100.06255059018
"133",4,2,3,1151,546,0.122916666666667,0.877083333333333,0.0520833333333333,0.802083333333333,0.145833333333333,0,33,104.207525236771,60.3838085577376
"134",4,2,4,1095,489,0.109393579072533,0.876337693222354,0.0903686087990487,0.607609988109394,0.302021403091558,0.014268727705113,64,77.2663952845425,71.0714313792146
"135",4,2,5,994,447,0.0304449648711944,0.770491803278688,0.0117096018735363,0.679156908665105,0.309133489461358,0.199063231850117,39,54.0780159845189,74.9571212395201
"136",4,2,6,979,561,0.0369261477045908,0.818363273453094,0.00499001996007984,0.693612774451098,0.301397205588822,0.144710578842315,82,151.887688316309,90.9029063458259
"137",4,2,7,1023,614,0.0181818181818182,0.970454545454545,0,0.813636363636364,0.186363636363636,0.0113636363636364,35,105.698022609087,51.8120369163526
"138",4,2,8,979,500,0.0542857142857143,0.875714285714286,0.0328571428571429,0.785714285714286,0.181428571428571,0.07,43,172.110182055993,60.9756823224954
"139",4,2,9,953,589,0.168096054888508,0.831903945111492,0.101200686106346,0.816466552315609,0.0823327615780446,0,39,62.2270722044102,102.933336296177
"140",4,2,10,990,509,0.123762376237624,0.851485148514851,0.0297029702970297,0.794554455445545,0.175742574257426,0.0247524752475248,37,73.8096152476729,62.6515038053803
"141",4,3,1,1034,566,0.115264797507788,0.666666666666667,0.0669781931464174,0.610591900311526,0.322429906542056,0.218068535825545,49,175.391987726087,222.294414374071
"142",4,3,2,855,568,0.184761904761905,0.794285714285714,0.108571428571429,0.582857142857143,0.308571428571429,0.020952380952381,45,78.4633106860112,69.6675420704692
"143",4,3,3,829,629,0.0876436781609195,0.78448275862069,0.0732758620689655,0.538793103448276,0.387931034482759,0.127873563218391,44,142.602206387781,73.7590668697848
"144",4,3,4,926,566,0.222898903775883,0.638246041412911,0.174177831912302,0.443361753958587,0.382460414129111,0.138855054811206,57,163.655136894969,92.6515915027449
"145",4,3,5,955,530,0.141791044776119,0.848258706467662,0.109452736318408,0.830845771144279,0.0597014925373134,0.00995024875621891,29,95.2604571122791,58.4704304994501
"146",4,3,6,976,649,0.0707610146862483,0.769025367156208,0.0307076101468625,0.530040053404539,0.439252336448598,0.160213618157543,63,170.308066736884,85.6252775403009
"147",4,3,7,893,611,0.130198915009042,0.792043399638336,0.0831826401446655,0.752260397830018,0.164556962025316,0.0777576853526221,43,86.8066986353667,100.88819096917
"148",4,3,8,975,494,0.0593824228028504,0.707838479809976,0.0261282660332542,0.532066508313539,0.441805225653207,0.232779097387173,35,132.653108209971,91.152063908629
"149",4,3,9,950,539,0.150442477876106,0.792035398230089,0.0943952802359882,0.671091445427729,0.234513274336283,0.0575221238938053,45,101.820499343862,89.0361867792572
"150",4,3,10,1069,558,0.221518987341772,0.778481012658228,0.175105485232068,0.687763713080169,0.137130801687764,0,38,51.6690950527931,91.7986113464232
"151",4,4,1,945,532,0.195744680851064,0.75531914893617,0.165957446808511,0.625531914893617,0.208510638297872,0.048936170212766,33,65.0580162439009,81.1679174545104
"152",4,4,2,1008,491,0.277566539923954,0.636882129277566,0.20532319391635,0.583650190114068,0.211026615969582,0.0855513307984791,38,69.5229929158117,108.798477426429
"153",4,4,3,971,607,0.205128205128205,0.751479289940828,0.0887573964497041,0.514792899408284,0.396449704142012,0.0433925049309665,47,90.9995845696422,78.6587417083518
"154",4,4,4,829,532,0.220430107526882,0.723118279569892,0.163978494623656,0.655913978494624,0.18010752688172,0.0564516129032258,34,101.3608808921,105.001943091326
"155",4,4,5,1000,513,0.0711785297549592,0.855309218203034,0.0186697782963827,0.774795799299883,0.206534422403734,0.073512252042007,60,91.4121160519396,65.6749353365118
"156",4,4,6,981,529,0.236286919831224,0.736286919831224,0.20464135021097,0.715189873417722,0.080168776371308,0.0274261603375527,42,85.7101238933873,80.2903033201546
"157",4,4,7,985,594,0.191666666666667,0.605555555555556,0.177777777777778,0.461111111111111,0.361111111111111,0.202777777777778,27,112.315030930145,186.087361482168
"158",4,4,8,976,676,0.220682302771855,0.700426439232409,0.116204690831557,0.475479744136461,0.408315565031983,0.0788912579957356,38,112.088976722825,87.9670706795093
"159",4,4,9,835,570,0.387888707037643,0.505728314238953,0.25531914893617,0.399345335515548,0.345335515548282,0.106382978723404,49,148.183434598753,115.905130479218
"160",4,4,10,887,594,0.172364672364672,0.746438746438746,0.0726495726495727,0.562678062678063,0.364672364672365,0.0811965811965812,66,106.880317236825,72.0968746108876
"161",5,1,1,954,463,0.0898203592814371,0.791916167664671,0.0494011976047904,0.755988023952096,0.194610778443114,0.118263473053892,40,168.69107070234,91.0430550011519
"162",5,1,2,934,388,0.0628778718258767,0.885126964933495,0.033857315598549,0.755743651753325,0.210399032648126,0.0519951632406288,46,94.0130833299564,85.5424371369336
"163",5,1,3,1030,538,0.129973474801061,0.673740053050398,0.164456233421751,0.594164456233422,0.241379310344828,0.196286472148541,17,46.8905392103345,102.870499821972
"164",5,1,4,915,465,0.0459770114942529,0.756066411238825,0.0408684546615581,0.733077905491699,0.226053639846743,0.197956577266922,56,206.850329305331,107.275014949981
"165",5,1,5,838,504,0.0603448275862069,0.850574712643678,0.0316091954022989,0.778735632183908,0.189655172413793,0.0890804597701149,27,124.786311072571,110.430819096162
"166",5,1,6,848,482,0.0700854700854701,0.858119658119658,0.0615384615384615,0.764102564102564,0.174358974358974,0.0717948717948718,46,93.2843357189472,97.751748911331
"167",5,1,7,826,428,0.0802721088435374,0.839455782312925,0.072108843537415,0.785034013605442,0.142857142857143,0.0802721088435374,32,74.7216924531279,79.1998389651757
"168",5,1,8,857,515,0.0730837789661319,0.862745098039216,0.103386809269162,0.82174688057041,0.0748663101604278,0.0641711229946524,26,108.304663725104,74.9176471979353
